sub_cat_name,page,condition,listing_name,listing_price,listing_url,listing_region,listing_locality,listing_lat,listing_lon
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,,25000,https://www.kaidee.com/product-343825297,สมุทรปราการ,บางพลี,13.6058333,100.7061111
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,2.5,55,https://www.kaidee.com/product-344797293,สมุทรปราการ,พระสมุทรเจดีย์,13.5686111,100.5616667
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,และ อุปกรณ์ มือสอง,16500,https://www.kaidee.com/product-344499047,กรุงเทพมหานคร,บางเขน,13.8738889,100.5963889
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,n95  หน้ากากกรองฝุ่น,990,https://www.kaidee.com/product-344812377,กรุงเทพมหานคร,บางแค,13.7056613,100.4059456
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,8822,60,https://www.kaidee.com/product-344723382,กรุงเทพมหานคร,ราชเทวี,13.7588889,100.5344444
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,ไม้เท้าช่วยพยุง มีฐานยาง 4 ปุ่ม ตั้งได้โดยไม้ล้ม พับเก็บง่าย มีไฟฉาย ปรับความสูงได้,500,https://www.kaidee.com/product-122441534,กรุงเทพมหานคร,จตุจักร,13.8343219,100.5595002
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,ผู้ผลิต จำหน่าย ถุงขายตาข่ายตีฟอง ตาข่ายวิปโฟม ตาข่ายทำฟองสบู่ ถุงตาข่ายตีฟอง ถุงใส่สบู่ soap net ถุงตีฟอง,3,https://www.kaidee.com/product-126478686,กรุงเทพมหานคร,บางแค,13.7061328,100.4060836
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้ากาก n95,45,https://www.kaidee.com/product-344858729,กรุงเทพมหานคร,บางกะปิ,13.7658333,100.6477778
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,เครื่องกรองอากาศในรถ,15000,https://www.kaidee.com/product-344858138,กรุงเทพมหานคร,บางกะปิ,13.7658333,100.6477778
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,แมสปิดจมูก,35,https://www.kaidee.com/product-344857882,นนทบุรี,ปากเกร็ด,13.9125,100.4983333
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้ากากn95,40,https://www.kaidee.com/product-344857548,กรุงเทพมหานคร,สายไหม,13.9008718,100.6534443
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,ลูกบอลบีบมือผลิตจากยางพารา,80,https://www.kaidee.com/product-344857098,สุราษฎร์ธานี,เมืองสุราษฎร์ธานี,9.1363889,99.3202778
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้ากากอนามัยจากญี่ปุ่น ป้องกันpm2.5 1แพค7ชิ้น,250,https://www.kaidee.com/product-344855203,ชลบุรี,เมืองชลบุรี,13.3619444,100.9791667
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้ากากป้องกันฝุ่นละออง2.5pm,690,https://www.kaidee.com/product-344854734,นนทบุรี,เมืองนนทบุรี,13.8615454,100.5137834
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้าากากกันฝุ่น3mแบบมีวาวล์,1100,https://www.kaidee.com/product-344853920,นนทบุรี,ปากเกร็ด,13.9125,100.4983333
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้ากากอนามัย,150,https://www.kaidee.com/product-344853165,ปทุมธานี,ธัญบุรี,14.0211111,100.7344444
อุปกรณ์เกี่ยวกับสุขภาพ,1,1,หน้ากากกันฝุ่น n95 พร้อมส่งจำนวนมาก,45,https://www.kaidee.com/product-344853047,นนทบุรี,ปากเกร็ด,13.9125,100.4983333
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,8822,60,https://www.kaidee.com/product-344723382,กรุงเทพมหานคร,ราชเทวี,13.7588889,100.5344444
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,และ อุปกรณ์ มือสอง,16500,https://www.kaidee.com/product-344499047,กรุงเทพมหานคร,บางเขน,13.8738889,100.5963889
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,n95,60,https://www.kaidee.com/product-344671047,กรุงเทพมหานคร,ดอนเมือง,13.9136111,100.5897222
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,,12000,https://www.kaidee.com/product-130421320,นนทบุรี,เมืองนนทบุรี,13.8622222,100.5133333
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,2.5,55,https://www.kaidee.com/product-344797293,สมุทรปราการ,พระสมุทรเจดีย์,13.5686111,100.5616667
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,เครื่องนวดอินฟราเรดสองระดับ,900,https://www.kaidee.com/product-344853678,กรุงเทพมหานคร,คลองสามวา,13.8597222,100.7041667
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,วีลแชร์ miki japan รุ่น limited minmin panda สีทอง,2900,https://www.kaidee.com/product-344851290,เชียงใหม่,เมืองเชียงใหม่,18.7902778,98.9844444
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,ตู้อบซาวน่าอินฟาเรด,7400,https://www.kaidee.com/product-344849720,ปทุมธานี,คลองหลวง,14.065,100.6461111
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,ชุดไส้กรองน้ำ3ขั้นตอน,690,https://www.kaidee.com/product-344848322,นครพนม,เมืองนครพนม,17.3672222,104.7605556
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,ขายเสื่อเล่นโยคะ,900,https://www.kaidee.com/product-344796181,ปทุมธานี,ลำลูกกา,13.9325,100.7494444
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,รถเข็นสำหรับผู้สูงอายุ,2000,https://www.kaidee.com/product-344847306,กรุงเทพมหานคร,ทวีวัฒนา,13.7886111,100.3341667
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,เครื่องสแกนช่องปาก,85000,https://www.kaidee.com/product-344847098,กรุงเทพมหานคร,ดินแดง,13.7697222,100.5527778
อุปกรณ์เกี่ยวกับสุขภาพ,1,2,เครื่องออกกำลังกายลู่เดินกึ่งสเต็ป,9000,https://www.kaidee.com/product-344762272,กรุงเทพมหานคร,มีนบุรี,13.8138889,100.7480556
